Subrubriek,Titel,Kamerstuk nummer,Relevantie vanwege:,Indiener,Dossier,Parlementair Jaar,Link ,,,,,
Brief,"Kabinetsreactie op het verkennende onderzoek ""Blockchain en het recht""","Kamerstuk 26 643, nr. 653",blockchain i.r.t. gegevensbescherming,JenV,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-653 ,,,,,
Brief,Artificiële intelligentie bij de politie,"Kamerstuk 26 643, nr. 652",AI,JenV,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-652.html,,,,,
Brief,Voortgang digitale inclusie,"Kamerstuk 26 643, nr. 644",lespakket AI ,BZK,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-644.html ,,,,,
Brief,Strategisch Actieplan voor Artificiële Intelligentie,"Kamerstuk 26 643, nr 640",AI,EZK,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/blg-903667.pdf,,,,,
Rapport,"Onderzoeksrapport ""Blockchain en het recht""","Kamerstuk 26 643, nr. 627",blockchain i.r.t. gegevensbescherming,JenV,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-627.html ,,,,,
Brief,BHOS/BZ - Reactie op de motie van het lid Karabulut c.s. over in kaart brengen welke Nederlandse bedrijven betrokken zijn bij mensenrechtenschendingen,"Kamerstuk 32735, nr. 278",mensenrechten,BZ,Mensenrechten in het buitenlands beleid,2019/2020,https://www.tweedekamer.nl/kamerstukken/brieven_regering/detail?id=2020Z01923&did=2020D04079 ,,,,,
Brief,Nationaal Actieplan Mensenrechten 2020. Toegankelijkheid van voorzieningen,"Kamerstuk 33826, nr. 33",mensenrechten,BZK,Mensenrechten in Nederland,2019/2020,https://zoek.officielebekendmakingen.nl/blg-917378,,,,,
Brief,Waarborgen en kaders bij gebruik gezichtsherkenningstechnologie,"Kamerstuk 32761, nr. 152",gezichtsherkening,JenV,Verwerking en bescherming van persoonsgegevens,2019/2020,https://zoek.officielebekendmakingen.nl/kst-32761-152.html,,,,,
Brief,Eindbrief van de Autoriteit Persoonsgegevens over het onderzoek naar de informatiebeveiliging bij Belastingdienst/Datafundamenten en Analytics,"Kamerstuk 32761, nr. 150",Data analyse ,FIN,Verwerking en bescherming van persoonsgegevens,2019/2020,https://zoek.officielebekendmakingen.nl/kst-32761-150.html,,,,,
Brief,Waarborgen tegen risico’s van data-analyses door de overheid,Kamerstuk 26 643. nr 641,transparantie,JenV,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-641,,,,,
Kabinetsreactie,Brief van de minister voor Rechtsbescherming met de kabinetsreactie op het verkennende onderzoek 'Blockchain en het recht',"Kamerstuk 34 972, nr. 2",Blockchain,JenV,Vaststelling van de begrotingsstaten van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII,2019/2020,https://zoek.officielebekendmakingen.nl/kst-35300-VI-K.html,,,,,
Overig,Lijst van vragen en antwoorden over artificiële intelligentie bij de politie,"Kamerstuk 26643, nr.669",toepassing AI,JenV,Informatie- en communicatietechnologie (ICT),2019/2020,https://zoek.officielebekendmakingen.nl/kst-26643-669.html,,,,,
